residence,language population,village population,mother tongue,elevation
Balkhar,31987.0,1195.0,лакский,1658.48388671875
Bezhta,1270.0,1058.0,бежтинский,1633.0812988281302
Burkikhan,7886.0,780.0,агульский,1917.4191894531302
Chabanmakhi,3723.0,179.0,кадарский даргинский,1020.0406494140599
Chankurbe,3723.0,663.6779661016949,кадарский даргинский,882.737670898437
Chirag,26628.78333333333,663.6779661016949,чирагский даргинский,2223.19091796875
Chuni,117613.0,342.0,аварский,1375.91101074219
Darvag,16786.0,1223.0,азербайджанский,355.02688598632795
Dorgeli,47605.0,3162.0,кумыкский,667.396423339844
Durangi,117613.0,345.0,аварский,1040.05541992188
Dyubek,24826.0,1041.0,табасаранский,450.744720458984
Dzhavgat,13236.0,579.0,кайтагский даргинский,365.503295898437
Ersi,16786.0,1197.0,азербайджанский,407.0
Fiy,1096.0,916.0,гдымско-фийский лезгинский,1927.37268066406
Gdym,1096.0,180.0,гдымско-фийский лезгинский,2026.6628417968698
Gelmets,3319.0,403.0,цахурский,1750.0
Hinuq,150.0,150.0,гинухский,1941.0
Ikhrek,8229.0,1456.0,рутульский,1792.92919921875
Karata,4336.0,1262.0,каратинский,1463.62890625
Khlyut,63939.0,787.0,лезгинский,1217.13757324219
Khnov,3792.0,1467.0,хновский рутульский,1836.39538574219
Khpyuk,7886.0,397.0,агульский,2186.0732421875
Kiche,8229.0,188.0,рутульский,1291.65612792969
Kidero,2980.0,283.0,цезский,1900.54162597656
Kina,8229.0,196.0,рутульский,1573.32702636719
Kizhani,117613.0,309.0,аварский,1515.361328125
Kubachi,3502.0,1733.0,кубачинский даргинский,1636.75378417969
Kuli,31987.0,2430.0,лакский,1955.77087402344
Kuli,31987.0,2430.0,лакский,1955.77087402344
Kurdul,3319.0,205.0,цахурский,1880.81872558594
Mallakent,15872.0,125.0,муиринский даргинский,491.374847412109
Megeb,710.0,710.0,мегебский,1712.15393066406
Mikik,3319.0,258.0,цахурский,1640.0
Mukar,31987.0,249.0,лакский,1667.02294921875
Obokh,117613.0,408.0,аварский,1765.45129394531
Richa,7886.0,885.0,агульский,2053.85205078125
Rikvani,4984.0,836.0,андийский,1874.55419921875
Rutul,8229.0,1769.0,рутульский,1342.49267578125
Shangoda,117613.0,175.0,аварский,1504.90002441406
Shukty,1633.0,653.0,гапшиминский даргинский,1663.48840332031
Sutbuk,10426.0,327.0,сирхинский даргинский,1365.90209960938
Tad-Magitl,2902.0,295.0,ахвахский,1457.0
Tlibisho,3052.0,250.0,багвалинский,1667.69287109375
Tsukhta,50241.0,273.0,акушинский даргинский,1452.47998046875
Tsulikana,31987.0,272.0,лакский,1746.52551269531
Tukita,127.0,127.0,тукитинский,1939.52868652344
Tukita,127.0,127.0,тукитинский,1939.52868652344
Upper Ubekimakhi,14258.0,411.0,цудахарский даргинский,1246.0
Uragi,10426.0,305.0,сирхинский даргинский,1538.4582519531198
Uri,31987.0,311.0,лакский,1666.2683105468802
Urtsaki,10426.0,504.0,сирхинский даргинский,1488.6706542968802
Zilo,4984.0,510.0,андийский,1202.365234375
