,year_of_birth,collected data,mean,count
0,1922.0,indirect,1.0754716981132075,53
1,1922.0,direct,1.0,1
2,1923.0,indirect,1.0476190476190477,42
3,1924.0,indirect,1.1194029850746268,67
4,1924.0,direct,1.0,2
5,1925.0,indirect,1.082191780821918,73
6,1925.0,direct,0.3333333333333333,3
7,1926.0,indirect,1.1931818181818181,88
8,1926.0,direct,2.0,1
9,1927.0,indirect,0.9166666666666666,60
10,1927.0,direct,1.0,6
11,1928.0,indirect,1.1734693877551021,98
12,1928.0,direct,0.6666666666666666,6
13,1929.0,indirect,0.6491228070175439,57
14,1929.0,direct,1.3333333333333333,3
15,1930.0,indirect,1.1121495327102804,107
16,1930.0,direct,1.05,20
17,1931.0,indirect,1.0,66
18,1931.0,direct,0.6666666666666666,15
19,1932.0,indirect,0.9560439560439561,91
20,1932.0,direct,0.8461538461538461,13
21,1933.0,indirect,1.0116279069767442,86
22,1933.0,direct,1.0,12
23,1934.0,indirect,1.088235294117647,68
24,1934.0,direct,1.1363636363636365,22
25,1935.0,indirect,1.0297029702970297,101
26,1935.0,direct,0.9,20
27,1936.0,indirect,1.1666666666666667,102
28,1936.0,direct,1.25,20
29,1937.0,indirect,0.9859154929577465,71
30,1937.0,direct,0.9655172413793104,29
31,1938.0,indirect,0.788235294117647,85
32,1938.0,direct,1.09375,32
33,1939.0,indirect,0.9787234042553191,47
34,1939.0,direct,1.08,25
35,1940.0,indirect,0.9855072463768116,69
36,1940.0,direct,0.8695652173913043,23
37,1941.0,indirect,0.9344262295081968,61
38,1941.0,direct,0.6875,16
39,1942.0,indirect,0.8387096774193549,31
40,1942.0,direct,0.95,20
41,1943.0,indirect,1.1666666666666667,30
42,1943.0,direct,0.7142857142857143,14
43,1944.0,indirect,1.0454545454545454,22
44,1944.0,direct,0.8947368421052632,19
45,1945.0,indirect,1.1142857142857143,35
46,1945.0,direct,0.75,8
47,1946.0,indirect,0.65,20
48,1946.0,direct,0.47058823529411764,17
49,1947.0,indirect,0.68,25
50,1947.0,direct,0.6,15
51,1948.0,indirect,1.0357142857142858,28
52,1948.0,direct,0.8571428571428571,21
53,1949.0,indirect,0.8823529411764706,34
54,1949.0,direct,0.9615384615384616,26
55,1950.0,indirect,0.6521739130434783,46
56,1950.0,direct,1.0,21
57,1951.0,indirect,0.8235294117647058,34
58,1951.0,direct,0.65625,32
59,1952.0,indirect,0.6842105263157895,38
60,1952.0,direct,0.9565217391304348,23
61,1953.0,indirect,0.6451612903225806,31
62,1953.0,direct,1.0416666666666667,24
63,1954.0,indirect,0.8205128205128205,39
64,1954.0,direct,1.0,29
65,1955.0,indirect,0.7575757575757576,33
66,1955.0,direct,0.6666666666666666,39
67,1956.0,indirect,0.4666666666666667,30
68,1956.0,direct,1.0689655172413792,29
69,1957.0,indirect,0.7058823529411765,34
70,1957.0,direct,0.75,36
71,1958.0,indirect,0.7692307692307693,39
72,1958.0,direct,0.6511627906976745,43
73,1959.0,indirect,0.6052631578947368,38
74,1959.0,direct,0.5142857142857142,35
75,1960.0,indirect,0.6,45
76,1960.0,direct,0.6666666666666666,39
77,1961.0,indirect,0.40476190476190477,42
78,1961.0,direct,0.5428571428571428,35
79,1962.0,indirect,0.6944444444444444,36
80,1962.0,direct,0.7297297297297297,37
81,1963.0,indirect,0.5869565217391305,46
82,1963.0,direct,0.4375,32
83,1964.0,indirect,0.5555555555555556,54
84,1964.0,direct,0.6,30
85,1965.0,indirect,0.64,50
86,1965.0,direct,0.6,35
87,1966.0,indirect,0.5348837209302325,43
88,1966.0,direct,0.7142857142857143,28
89,1967.0,indirect,0.627906976744186,43
90,1967.0,direct,0.8571428571428571,28
91,1968.0,indirect,0.5434782608695652,46
92,1968.0,direct,0.5641025641025641,39
93,1969.0,indirect,0.6304347826086957,46
94,1969.0,direct,0.5757575757575758,33
95,1970.0,indirect,0.5,48
96,1970.0,direct,0.6666666666666666,18
97,1971.0,indirect,0.5,32
98,1971.0,direct,0.6857142857142857,35
99,1972.0,indirect,0.7073170731707317,41
100,1972.0,direct,0.6111111111111112,18
101,1973.0,indirect,0.29411764705882354,34
102,1973.0,direct,0.6666666666666666,27
103,1974.0,indirect,0.4722222222222222,36
104,1974.0,direct,0.4,20
105,1975.0,indirect,0.5428571428571428,35
106,1975.0,direct,0.8260869565217391,23
107,1976.0,indirect,0.3,30
108,1976.0,direct,0.52,25
109,1977.0,indirect,0.6052631578947368,38
110,1977.0,direct,0.25925925925925924,27
111,1978.0,indirect,0.4782608695652174,23
112,1978.0,direct,0.5714285714285714,14
113,1979.0,indirect,0.4230769230769231,26
114,1979.0,direct,0.625,16
115,1980.0,indirect,0.4375,32
116,1980.0,direct,0.5882352941176471,17
